short_name;character;unicode;styles;keyword;categories
coffee-togo;;f6c5;regular;coffee-togo;
coffin;;f6c6;regular;coffin;
coffin-cross;;e051;regular;coffin-cross;
cog;;f013;regular;cog;
cogs;;f085;regular;cogs;
coin;;f85c;regular;coin;
coins;;f51e;regular;coins;
columns;;f0db;regular;columns;
comet;;e003;regular;comet;
comment;;f075;regular;comment;
comment-alt;;f27a;regular;comment-alt;
comment-alt-check;;f4a2;regular;comment-alt-check;
comment-alt-dollar;;f650;regular;comment-alt-dollar;
comment-alt-dots;;f4a3;regular;comment-alt-dots;
comment-alt-edit;;f4a4;regular;comment-alt-edit;
comment-alt-exclamation;;f4a5;regular;comment-alt-exclamation;
comment-alt-lines;;f4a6;regular;comment-alt-lines;
comment-alt-medical;;f7f4;regular;comment-alt-medical;
comment-alt-minus;;f4a7;regular;comment-alt-minus;
comment-alt-music;;f8af;regular;comment-alt-music;
comment-alt-plus;;f4a8;regular;comment-alt-plus;
comment-alt-slash;;f4a9;regular;comment-alt-slash;
comment-alt-smile;;f4aa;regular;comment-alt-smile;
comment-alt-times;;f4ab;regular;comment-alt-times;
comment-check;;f4ac;regular;comment-check;
comment-dollar;;f651;regular;comment-dollar;
comment-dots;;f4ad;regular;comment-dots;
comment-edit;;f4ae;regular;comment-edit;
comment-exclamation;;f4af;regular;comment-exclamation;
comment-lines;;f4b0;regular;comment-lines;
comment-medical;;f7f5;regular;comment-medical;
comment-minus;;f4b1;regular;comment-minus;
comment-music;;f8b0;regular;comment-music;
comment-plus;;f4b2;regular;comment-plus;
comment-slash;;f4b3;regular;comment-slash;
comment-smile;;f4b4;regular;comment-smile;
comment-times;;f4b5;regular;comment-times;
comments;;f086;regular;comments;
comments-alt;;f4b6;regular;comments-alt;
comments-alt-dollar;;f652;regular;comments-alt-dollar;
comments-dollar;;f653;regular;comments-dollar;
compact-disc;;f51f;regular;compact-disc;
compass;;f14e;regular;compass;
compass-slash;;f5e9;regular;compass-slash;
compress;;f066;regular;compress;
compress-alt;;f422;regular;compress-alt;
compress-arrows-alt;;f78c;regular;compress-arrows-alt;
compress-wide;;f326;regular;compress-wide;
computer-classic;;f8b1;regular;computer-classic;
computer-speaker;;f8b2;regular;computer-speaker;
concierge-bell;;f562;regular;concierge-bell;
construction;;f85d;regular;construction;
container-storage;;f4b7;regular;container-storage;
conveyor-belt;;f46e;regular;conveyor-belt;
conveyor-belt-alt;;f46f;regular;conveyor-belt-alt;
cookie;;f563;regular;cookie;
cookie-bite;;f564;regular;cookie-bite;
copy;;f0c5;regular;copy;
copyright;;f1f9;regular;copyright;
corn;;f6c7;regular;corn;
couch;;f4b8;regular;couch;
cow;;f6c8;regular;cow;
cowbell;;f8b3;regular;cowbell;
cowbell-more;;f8b4;regular;cowbell-more;
credit-card;;f09d;regular;credit-card;
credit-card-blank;;f389;regular;credit-card-blank;
credit-card-front;;f38a;regular;credit-card-front;
cricket;;f449;regular;cricket;
croissant;;f7f6;regular;croissant;
crop;;f125;regular;crop;
crop-alt;;f565;regular;crop-alt;
cross;;f654;regular;cross;
crosshairs;;f05b;regular;crosshairs;
crow;;f520;regular;crow;
crown;;f521;regular;crown;
crutch;;f7f7;regular;crutch;
crutches;;f7f8;regular;crutches;
cube;;f1b2;regular;cube;
cubes;;f1b3;regular;cubes;
curling;;f44a;regular;curling;
cut;;f0c4;regular;cut;
dagger;;f6cb;regular;dagger;
database;;f1c0;regular;database;
deaf;;f2a4;regular;deaf;
debug;;f7f9;regular;debug;
deer;;f78e;regular;deer;
deer-rudolph;;f78f;regular;deer-rudolph;
democrat;;f747;regular;democrat;
desktop;;f108;regular;desktop;
desktop-alt;;f390;regular;desktop-alt;
dewpoint;;f748;regular;dewpoint;
dharmachakra;;f655;regular;dharmachakra;
diagnoses;;f470;regular;diagnoses;
diamond;;f219;regular;diamond;
dice;;f522;regular;dice;
dice-d10;;f6cd;regular;dice-d10;
dice-d12;;f6ce;regular;dice-d12;
dice-d20;;f6cf;regular;dice-d20;
dice-d4;;f6d0;regular;dice-d4;
dice-d6;;f6d1;regular;dice-d6;
dice-d8;;f6d2;regular;dice-d8;
dice-five;;f523;regular;dice-five;
dice-four;;f524;regular;dice-four;
dice-one;;f525;regular;dice-one;
dice-six;;f526;regular;dice-six;
dice-three;;f527;regular;dice-three;
dice-two;;f528;regular;dice-two;
digging;;f85e;regular;digging;
digital-tachograph;;f566;regular;digital-tachograph;
diploma;;f5ea;regular;diploma;
directions;;f5eb;regular;directions;
disc-drive;;f8b5;regular;disc-drive;
disease;;f7fa;regular;disease;
divide;;f529;regular;divide;
dizzy;;f567;regular;dizzy;
dna;;f471;regular;dna;
do-not-enter;;f5ec;regular;do-not-enter;
dog;;f6d3;regular;dog;
dog-leashed;;f6d4;regular;dog-leashed;
dollar-sign;;f155;regular;dollar-sign;
dolly;;f472;regular;dolly;
dolly-empty;;f473;regular;dolly-empty;
dolly-flatbed;;f474;regular;dolly-flatbed;
dolly-flatbed-alt;;f475;regular;dolly-flatbed-alt;
dolly-flatbed-empty;;f476;regular;dolly-flatbed-empty;
donate;;f4b9;regular;donate;
door-closed;;f52a;regular;door-closed;
door-open;;f52b;regular;door-open;
dot-circle;;f192;regular;dot-circle;
dove;;f4ba;regular;dove;
download;;f019;regular;download;
drafting-compass;;f568;regular;drafting-compass;
dragon;;f6d5;regular;dragon;
draw-circle;;f5ed;regular;draw-circle;
draw-polygon;;f5ee;regular;draw-polygon;
draw-square;;f5ef;regular;draw-square;
dreidel;;f792;regular;dreidel;
drone;;f85f;regular;drone;
drone-alt;;f860;regular;drone-alt;
drum;;f569;regular;drum;
drum-steelpan;;f56a;regular;drum-steelpan;
drumstick;;f6d6;regular;drumstick;
drumstick-bite;;f6d7;regular;drumstick-bite;
dryer;;f861;regular;dryer;
dryer-alt;;f862;regular;dryer-alt;
duck;;f6d8;regular;duck;
dumbbell;;f44b;regular;dumbbell;
dumpster;;f793;regular;dumpster;
dumpster-fire;;f794;regular;dumpster-fire;
dungeon;;f6d9;regular;dungeon;
ear;;f5f0;regular;ear;
ear-muffs;;f795;regular;ear-muffs;
eclipse;;f749;regular;eclipse;
eclipse-alt;;f74a;regular;eclipse-alt;
edit;;f044;regular;edit;
egg;;f7fb;regular;egg;
egg-fried;;f7fc;regular;egg-fried;
eject;;f052;regular;eject;
elephant;;f6da;regular;elephant;
ellipsis-h;;f141;regular;ellipsis-h;
ellipsis-h-alt;;f39b;regular;ellipsis-h-alt;
ellipsis-v;;f142;regular;ellipsis-v;
ellipsis-v-alt;;f39c;regular;ellipsis-v-alt;
empty-set;;f656;regular;empty-set;
engine-warning;;f5f2;regular;engine-warning;
envelope;;f0e0;regular;envelope;
envelope-open;;f2b6;regular;envelope-open;
envelope-open-dollar;;f657;regular;envelope-open-dollar;
envelope-open-text;;f658;regular;envelope-open-text;
envelope-square;;f199;regular;envelope-square;
equals;;f52c;regular;equals;
eraser;;f12d;regular;eraser;
ethernet;;f796;regular;ethernet;
euro-sign;;f153;regular;euro-sign;
exchange;;f0ec;regular;exchange;
exchange-alt;;f362;regular;exchange-alt;
exclamation;;f12a;regular;exclamation;
exclamation-circle;;f06a;regular;exclamation-circle;
exclamation-square;;f321;regular;exclamation-square;
exclamation-triangle;;f071;regular;exclamation-triangle;
expand;;f065;regular;expand;
expand-alt;;f424;regular;expand-alt;
expand-arrows;;f31d;regular;expand-arrows;
expand-arrows-alt;;f31e;regular;expand-arrows-alt;
expand-wide;;f320;regular;expand-wide;
external-link;;f08e;regular;external-link;
external-link-alt;;f35d;regular;external-link-alt;
external-link-square;;f14c;regular;external-link-square;
external-link-square-alt;;f360;regular;external-link-square-alt;
eye;;f06e;regular;eye;
eye-dropper;;f1fb;regular;eye-dropper;
eye-evil;;f6db;regular;eye-evil;
eye-slash;;f070;regular;eye-slash;
fan;;f863;regular;fan;
fan-table;;e004;regular;fan-table;
farm;;f864;regular;farm;
fast-backward;;f049;regular;fast-backward;
fast-forward;;f050;regular;fast-forward;
faucet;;e005;regular;faucet;
faucet-drip;;e006;regular;faucet-drip;
fax;;f1ac;regular;fax;
